Date,open,high,low,close,volume,vwap,timestamp,transactions,otc
2023-11-02 04:00:00,0.38,0.38,0.37,0.38,24,0.3796,1698897600000,5,
2023-11-03 04:00:00,0.34,0.34,0.26,0.27,46,0.2837,1698984000000,13,
2023-11-06 05:00:00,0.31,0.31,0.22,0.24,258,0.2331,1699246800000,22,
2023-11-07 05:00:00,0.2,0.2,0.18,0.2,83,0.1998,1699333200000,6,
2023-11-08 05:00:00,0.16,0.18,0.16,0.16,18,0.175,1699419600000,9,
2023-11-09 05:00:00,0.16,0.2,0.15,0.2,22,0.1691,1699506000000,8,
2023-11-10 05:00:00,0.15,0.16,0.15,0.16,4,0.1575,1699592400000,3,
2023-11-13 05:00:00,0.16,0.16,0.14,0.14,96,0.1499,1699851600000,5,
2023-11-15 05:00:00,0.09,0.11,0.08,0.11,5,0.094,1700024400000,5,
2023-11-16 05:00:00,0.11,0.11,0.1,0.11,168,0.1061,1700110800000,23,
2023-11-17 05:00:00,0.13,0.13,0.12,0.12,166,0.1293,1700197200000,12,
2023-11-20 05:00:00,0.1,0.1,0.08,0.08,330,0.0998,1700456400000,18,
2023-11-21 05:00:00,0.07,0.07,0.07,0.07,20,0.07,1700542800000,3,
2023-11-22 05:00:00,0.06,0.07,0.05,0.07,27,0.0607,1700629200000,6,
2023-11-27 05:00:00,0.06,0.07,0.06,0.07,3,0.0633,1701061200000,3,
2023-11-28 05:00:00,0.05,0.05,0.05,0.05,1,0.05,1701147600000,1,
2023-11-29 05:00:00,0.04,0.05,0.04,0.04,14,0.0414,1701234000000,9,
2023-12-01 05:00:00,0.05,0.05,0.04,0.04,125,0.0464,1701406800000,9,
2023-12-04 05:00:00,0.03,0.04,0.03,0.04,10,0.039,1701666000000,3,
2023-12-05 05:00:00,0.03,0.03,0.02,0.02,6,0.0233,1701752400000,3,
2023-12-11 05:00:00,0.01,0.01,0.01,0.01,87,0.01,1702270800000,9,
2023-12-13 05:00:00,0.01,0.01,0.01,0.01,140,0.01,1702443600000,15,
