Date,Action,Price,Long Only,Holdings,Portfolio Value
2023-08-10,,29429.59,9917.06,0.0,10000.0
2023-08-11,-1.0,29397.71,9906.31,0.0,10000.0
2023-08-12,0.0,29415.96,9912.46,0.0,10000.0
2023-08-13,1.0,29282.91,9867.63,0.34,10000.0
2023-08-14,0.0,29408.44,9909.93,0.34,10042.87
2023-08-15,0.0,29170.35,9829.7,0.34,9961.56
2023-08-16,0.0,28701.78,9671.8,0.34,9801.54
2023-08-17,0.0,26664.55,8985.31,0.34,9105.84
2023-08-18,1.0,26049.56,8778.07,0.34,8895.82
2023-08-19,0.0,26096.21,8793.79,0.34,8911.75
2023-08-20,0.0,26189.58,8825.25,0.34,8943.64
2023-08-21,0.0,26124.14,8803.2,0.34,8921.29
2023-08-22,0.0,26031.66,8772.03,0.34,8889.71
2023-08-23,0.0,26431.64,8906.82,0.34,9026.3
2023-08-24,0.0,26162.37,8816.08,0.34,8934.35
2023-08-25,0.0,26047.67,8777.43,0.34,8895.18
2023-08-26,0.0,26008.46,8764.22,0.34,8881.79
2023-08-27,-1.0,26089.69,8791.59,0.34,8909.53
2023-08-28,0.0,26106.15,8797.14,0.0,8909.53
2023-08-29,0.0,27727.39,9343.46,0.0,8909.53
2023-08-30,-1.0,27297.27,9198.51,0.0,8909.53
2023-08-31,1.0,25931.47,8738.28,0.39,10000.0
2023-09-01,1.0,25800.72,8694.22,0.39,9949.58
2023-09-02,0.0,25868.8,8717.16,0.39,9975.83
2023-09-03,0.0,25969.57,8751.11,0.39,10014.69
2023-09-04,0.0,25812.42,8698.16,0.39,9954.09
2023-09-05,0.0,25779.98,8687.23,0.39,9941.58
2023-09-06,0.0,25753.24,8678.21,0.39,9931.27
2023-09-07,-1.0,26240.2,8842.31,0.39,10119.05
2023-09-08,0.0,25905.65,8729.58,0.0,10119.05
2023-09-09,0.0,25895.68,8726.21,0.0,10119.05
2023-09-10,0.0,25832.23,8704.83,0.0,10119.05
2023-09-11,0.0,25162.65,8479.2,0.0,10119.05
2023-09-12,0.0,25833.34,8705.21,0.0,10119.05
2023-09-13,0.0,26228.32,8838.31,0.0,10119.05
2023-09-14,-1.0,26539.67,8943.22,0.0,10119.05
2023-09-15,0.0,26608.69,8966.48,0.0,10119.05
2023-09-16,0.0,26568.28,8952.86,0.0,10119.05
2023-09-17,0.0,26534.19,8941.38,0.0,10119.05
2023-09-18,0.0,26754.28,9015.54,0.0,10119.05
2023-09-19,0.0,27211.12,9169.48,0.0,10119.05
2023-09-20,0.0,27132.01,9142.83,0.0,10119.05
2023-09-21,1.0,26567.63,8952.65,0.38,10000.0
2023-09-22,1.0,26579.57,8956.67,0.38,10004.49
2023-09-23,0.0,26579.39,8956.61,0.38,10004.43
2023-09-24,-1.0,26256.83,8847.91,0.38,9883.01
2023-09-25,1.0,26298.48,8861.95,0.38,10000.0
2023-09-26,0.0,26217.25,8834.58,0.38,9969.11
2023-09-27,0.0,26352.72,8880.22,0.38,10020.62
2023-09-28,-1.0,27021.55,9105.6,0.38,10274.95
2023-09-29,-1.0,26911.72,9068.6,0.0,10274.95
2023-09-30,0.0,26967.92,9087.53,0.0,10274.95
2023-10-01,1.0,27983.75,9429.84,0.36,10000.0
2023-10-02,-1.0,27530.79,9277.2,0.36,9838.13
2023-10-03,0.0,27429.98,9243.24,0.0,9838.13
2023-10-04,0.0,27799.39,9367.72,0.0,9838.13
2023-10-05,1.0,27415.91,9238.5,0.36,10000.0
2023-10-06,0.0,27946.6,9417.32,0.36,10193.57
2023-10-07,-1.0,27968.84,9424.82,0.36,10201.68
2023-10-08,0.0,27935.09,9413.45,0.0,10201.68
2023-10-09,1.0,27583.68,9295.03,0.36,10000.0
2023-10-10,1.0,27391.02,9230.11,0.36,9930.15
2023-10-11,-1.0,26873.32,9055.66,0.36,9742.47
2023-10-12,1.0,26756.8,9016.39,0.37,10000.0
2023-10-13,0.0,26862.38,9051.97,0.37,10039.46
2023-10-14,0.0,26861.71,9051.74,0.37,10039.21
